period,cliente,produc,cantidad_facturas,cantidad_unidades,cantidad_productos,total_facturado,unidades_promedio_por_compra,productos_promedio_por_compra,precio_uni,depo,descripcion,precio_uni_deflactado,total_facturado_deflactado
2022-08,296,000-000-13783,1.0,4.0,4.0,394.31,4.0,4.0,81.9208,1.0,mana vainilla x 136 grs,601.7133095623265,2896.2311780832333
2022-09,296,000-000-13783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mana vainilla x 136 grs,0.0,0.0
2022-10,296,000-000-13783,1.0,3.0,3.0,354.58,3.0,3.0,98.2228,1.0,mana vainilla x 136 grs,636.6764810665911,2298.374172357048
2022-11,296,000-000-13783,1.0,3.0,3.0,354.58,3.0,3.0,98.2228,1.0,mana vainilla x 136 grs,615.1463585184456,2220.6513742580173
2022-12,296,000-000-13783,1.0,3.0,3.0,401.95,3.0,3.0,111.3451,1.0,mana vainilla x 136 grs,666.0250674497403,2404.315734248055
2023-01,296,000-000-13783,1.0,2.0,2.0,242.51,2.0,2.0,111.3451,1.0,mana vainilla x 136 grs,623.6189770128655,1358.2442165428922
2023-02,296,000-000-13783,2.0,6.0,6.0,851.02,3.0,3.0,117.8674,1.0,mana vainilla x 136 grs,601.228523763006,4340.958554212559
2023-03,296,000-000-13783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mana vainilla x 136 grs,0.0,0.0
2023-04,296,000-000-13783,1.0,3.0,3.0,516.84,3.0,3.0,143.1668,1.0,mana vainilla x 136 grs,606.8490965572181,2190.758521281698
2023-05,296,000-000-13783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mana vainilla x 136 grs,0.0,0.0
2023-06,296,000-000-13783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mana vainilla x 136 grs,0.0,0.0
2023-07,296,000-000-13783,1.0,3.0,3.0,665.0,3.0,3.0,184.2076,1.0,mana vainilla x 136 grs,670.0757037703518,2419.011718339981
2023-08,296,000-000-13783,2.0,6.0,6.0,1389.85,3.0,3.0,192.49695000000003,1.0,mana vainilla x 136 grs,605.7345497758741,4373.472743365537
2023-09,296,000-000-13783,2.0,6.0,6.0,1598.3,3.0,3.0,221.367,1.0,mana vainilla x 136 grs,609.4318421608774,4400.181207342243
2023-10,296,000-000-13783,2.0,21.0,21.0,4019.34,7.0,7.0,187.5091,1.0,mana vainilla x 136 grs,479.3126692152528,10274.277802430039
2023-11,296,000-000-13783,2.0,18.0,18.0,5653.55,9.0,9.0,261.01054999999997,1.0,mana vainilla x 136 grs,576.6619045284793,12490.632697977093
2023-12,296,000-000-13783,1.0,6.0,6.0,2787.66,6.0,6.0,386.0987,1.0,mana vainilla x 136 grs,657.6904919657708,4748.572002012181
2024-01,296,000-000-13783,1.0,4.0,4.0,2137.19,4.0,4.0,399.61,1.0,mana vainilla x 136 grs,565.3704228850984,3023.7081506614036
2024-02,296,000-000-13783,1.0,6.0,6.0,2910.74,6.0,6.0,362.83,1.0,mana vainilla x 136 grs,458.7434109637599,3680.188507093279
2024-03,296,000-000-13783,3.0,9.0,9.0,4808.7300000000005,3.0,3.0,399.6122,1.0,mana vainilla x 136 grs,457.2388367580799,5502.1796418720005
2024-04,296,000-000-13783,1.0,6.0,6.0,2829.87,6.0,6.0,352.75,1.0,mana vainilla x 136 grs,380.77245999999997,3054.6748727999993
2024-05,296,000-000-13783,1.0,3.0,3.0,1414.9,3.0,3.0,399.61,1.0,mana vainilla x 136 grs,411.5983,1457.347
2024-06,296,000-000-13783,1.0,3.0,3.0,1762.63,3.0,3.0,439.432,1.0,mana vainilla x 136 grs,439.432,1762.63
2024-03,296,000-000-14336,2.0,10.0,10.0,10827.460000000001,5.0,5.0,846.31,1.0,surtido diversion x 400 grs,968.3533183839999,12388.849027744
2024-04,296,000-000-14336,1.0,3.0,3.0,3760.78,3.0,3.0,937.58,1.0,surtido diversion x 400 grs,1012.0613552,4059.5363632
2024-05,296,000-000-14336,1.0,6.0,6.0,6057.11,6.0,6.0,937.5819,1.0,surtido diversion x 400 grs,965.709357,6238.8233
2024-06,296,000-000-14336,2.0,8.0,8.0,8718.810000000001,4.0,4.0,1031.0090500000001,1.0,surtido diversion x 400 grs,1031.0090500000001,8718.810000000001
2024-05,296,000-000-14361,1.0,15.0,5.0,3873.8,15.0,5.0,579.453,1.0,serranitas arcor 3 x 105 grs,596.83659,3990.014
2024-02,296,000-000-14364,1.0,3.0,3.0,1225.16,3.0,3.0,305.4371,1.0,alfajor cofler mousse x 40 grs,386.1788085022711,1549.02868389152
2024-02,296,000-000-14365,1.0,3.0,3.0,1225.11,3.0,3.0,305.425,1.0,alf cofler block x 40 grs,386.1635098906,1548.9654664879197
2024-03,296,000-000-14365,1.0,6.0,6.0,2450.22,6.0,6.0,305.425,1.0,alf cofler block x 40 grs,349.46923971999996,2803.5574054079993
2024-05,296,000-000-14380,1.0,2.0,2.0,1231.07,2.0,2.0,460.37,1.0,cofler cookies rell bob x 85 grs,474.1811,1268.0021
2024-02,296,000-000-1832,1.0,6.0,6.0,1126.86,6.0,6.0,155.2154,1.0,la camp pure salsati x 520,196.24629173470876,1424.7432684139196
2024-01,296,000-000-2426,1.0,24.0,2.0,2162.81,24.0,2.0,893.7254,1.0,mentho plus acidos naranja x 12 uds,1264.4476047675328,3059.9554673809957
2022-03,296,000-000-2988,1.0,6.0,6.0,521.12,6.0,6.0,72.1759,1.0,alf minitorta brownie x 72 grs,696.003014510926,5025.238215553029
2022-05,296,000-000-2989,1.0,6.0,6.0,521.12,6.0,6.0,72.1759,1.0,alf minitorta coco x 73 grs,629.5274354383754,4545.275322588927
2022-03,296,000-000-3165,1.0,5.0,5.0,387.73,5.0,5.0,64.4429,1.0,mini torta blanco x 72g,621.4325372295483,3738.9384658358454
2022-01,296,000-000-3313,1.0,28.0,28.0,538.72,28.0,28.0,14.39,1.0,alf tatin blanco x 33 gr,159.91270002512206,5986.669197882819
2022-02,296,000-000-3313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf tatin blanco x 33 gr,0.0,0.0
2022-03,296,000-000-3313,2.0,84.0,84.0,2670.37,42.0,42.0,26.926000000000002,1.0,alf tatin blanco x 33 gr,259.65145108992334,25750.777889289107
2022-04,296,000-000-3313,1.0,56.0,56.0,1917.19,56.0,56.0,28.4501,1.0,alf tatin blanco x 33 gr,259.06381083668924,17457.743470075406
2022-05,296,000-000-3313,1.0,28.0,28.0,958.59,28.0,28.0,28.4501,1.0,alf tatin blanco x 33 gr,248.1454126788211,8360.94464131202
2022-06,296,000-000-3313,2.0,56.0,56.0,2095.5299999999997,28.0,28.0,31.097,1.0,alf tatin blanco x 33 gr,259.30402789342213,17473.69101750982
2022-07,296,000-000-3313,3.0,62.0,62.0,2361.09,20.666666666666668,20.666666666666668,32.92466666666667,1.0,alf tatin blanco x 33 gr,259.00389237677354,18573.658055314445
2022-08,296,000-000-3313,2.0,56.0,56.0,1958.3600000000001,28.0,28.0,26.155,1.0,alf tatin blanco x 33 gr,192.11008207442615,14384.274529966477
2022-09,296,000-000-3313,1.0,56.0,56.0,1767.8,28.0,28.0,23.61,1.0,alf tatin blanco x 33 gr,162.52755454433301,12169.259251311812
2022-10,296,000-000-3313,3.0,112.0,112.0,4286.84,37.333333333333336,37.333333333333336,30.470266666666664,1.0,alf tatin blanco x 33 gr,197.5071180875925,27787.135024612464
2022-11,296,000-000-3313,1.0,112.0,112.0,4228.92,112.0,112.0,28.24,1.0,alf tatin blanco x 33 gr,176.860496387406,26484.73407870499
2022-12,296,000-000-3313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf tatin blanco x 33 gr,0.0,0.0
2023-01,296,000-000-3313,1.0,56.0,56.0,3228.75,56.0,56.0,47.9132,1.0,alf tatin blanco x 33 gr,268.35110632989534,18083.50589321209
2023-02,296,000-000-3313,1.0,56.0,56.0,3492.21,56.0,56.0,51.823,1.0,alf tatin blanco x 33 gr,264.3433704906553,17813.375564154358
2023-03,296,000-000-3313,1.0,28.0,28.0,1859.65,28.0,28.0,55.1928,1.0,alf tatin blanco x 33 gr,257.5776269283522,8678.744943494625
2023-04,296,000-000-3313,1.0,56.0,56.0,3397.07,56.0,56.0,45.37,1.0,alf tatin blanco x 33 gr,192.31234832936815,14399.349992048637
2023-05,296,000-000-3313,1.0,28.0,28.0,1534.93,28.0,28.0,41.0,1.0,alf tatin blanco x 33 gr,164.26180123488106,6149.52113584039
2023-06,296,000-000-3313,2.0,56.0,56.0,3935.42,28.0,28.0,52.56,1.0,alf tatin blanco x 33 gr,202.28205226928492,15145.830177731912
2023-07,296,000-000-3313,1.0,28.0,28.0,1772.66,28.0,28.0,47.35,1.0,alf tatin blanco x 33 gr,172.24090956901972,6448.248590424889
2023-08,296,000-000-3313,3.0,84.0,84.0,7609.01,28.0,28.0,73.10969999999999,1.0,alf tatin blanco x 33 gr,230.05596303603363,23943.445579735802
2023-09,296,000-000-3313,2.0,56.0,56.0,6083.27,28.0,28.0,90.2731,1.0,alf tatin blanco x 33 gr,248.52530698149727,16747.47565112235
2023-10,296,000-000-3313,2.0,56.0,56.0,6826.56,28.0,28.0,101.30345,1.0,alf tatin blanco x 33 gr,258.9529095932619,17450.122128249117
2023-11,296,000-000-3313,2.0,56.0,56.0,7342.72,28.0,28.0,108.9631,1.0,alf tatin blanco x 33 gr,240.73689270156765,16222.589085457874
2023-12,296,000-000-3313,2.0,56.0,56.0,9868.45,28.0,28.0,140.34205,1.0,alf tatin blanco x 33 gr,239.06227062661645,16810.172464811745
2024-01,296,000-000-3313,1.0,28.0,28.0,6620.2,28.0,28.0,176.834,1.0,alf tatin blanco x 33 gr,250.1857144727697,9366.295321898671
2024-02,296,000-000-3313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf tatin blanco x 33 gr,0.0,0.0
2024-03,296,000-000-3313,1.0,28.0,28.0,6620.19,28.0,28.0,176.834,1.0,alf tatin blanco x 33 gr,202.3345945376,7574.863767215999
2024-04,296,000-000-3313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf tatin blanco x 33 gr,0.0,0.0
2024-05,296,000-000-3313,1.0,28.0,28.0,6620.2,28.0,28.0,176.834,1.0,alf tatin blanco x 33 gr,182.13902,6818.806
2024-06,296,000-000-3313,1.0,28.0,28.0,5084.6,28.0,28.0,194.4398,1.0,alf tatin blanco x 33 gr,194.4398,5084.6
2022-03,296,000-000-3750,1.0,6.0,6.0,640.15,6.0,6.0,97.9728,1.0,alf b n 3 0 negro x 73 5 grs,944.7663851794861,6173.062334368804
2022-01,296,000-000-3871,1.0,6.0,6.0,283.26,6.0,6.0,39.2323,1.0,saladix jamon x 30 grs,435.97936214006927,3147.8020437189766
2022-02,296,000-000-3871,2.0,12.0,12.0,566.52,6.0,6.0,39.2323,1.0,saladix jamon x 30 grs,405.5621973395994,5856.37589529112
2022-03,296,000-000-3871,2.0,12.0,12.0,600.52,6.0,6.0,41.58615,1.0,saladix jamon x 30 grs,401.0214733990647,5790.904308420142
2022-04,296,000-000-3871,1.0,6.0,6.0,317.26,6.0,6.0,43.94,1.0,saladix jamon x 30 grs,400.11331588163574,2888.938338566403
2022-05,296,000-000-3871,3.0,18.0,18.0,981.51,6.0,6.0,45.3133,1.0,saladix jamon x 30 grs,395.22840089627886,8560.855814158464
2022-06,296,000-000-3871,2.0,12.0,12.0,693.98,6.0,6.0,48.0599,1.0,saladix jamon x 30 grs,400.7500932615712,5786.790020821208
2022-07,296,000-000-3871,3.0,18.0,18.0,1135.8400000000001,6.0,6.0,52.32503333333333,1.0,saladix jamon x 30 grs,411.6180564342161,8935.154426789473
2022-08,296,000-000-3871,4.0,42.0,42.0,2750.5299999999997,10.5,10.5,54.74245,1.0,saladix jamon x 30 grs,402.0866588589244,20202.811854260035
2022-09,296,000-000-3871,2.0,24.0,24.0,1649.04,6.0,6.0,57.0997,1.0,saladix jamon x 30 grs,393.0654216948349,11351.733949419184
2022-10,296,000-000-3871,1.0,6.0,6.0,453.49,6.0,6.0,62.8096,1.0,saladix jamon x 30 grs,407.12945573940226,2939.5050578774826
2022-11,296,000-000-3871,3.0,18.0,18.0,1378.6100000000001,6.0,6.0,63.64703333333333,1.0,saladix jamon x 30 grs,398.60644153396277,8633.911080900914
2022-12,296,000-000-3871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,saladix jamon x 30 grs,0.0,0.0
2023-01,296,000-000-3871,2.0,12.0,12.0,1069.26,6.0,6.0,74.0489,1.0,saladix jamon x 30 grs,414.73131073507477,5988.685872667737
2023-02,296,000-000-3871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,saladix jamon x 30 grs,0.0,0.0
2023-03,296,000-000-3871,2.0,12.0,12.0,1212.6399999999999,6.0,6.0,83.97659999999999,1.0,saladix jamon x 30 grs,391.90788192502384,5659.233333304289
2023-04,296,000-000-3871,1.0,6.0,6.0,692.78,6.0,6.0,95.9511,1.0,saladix jamon x 30 grs,406.713276742033,2936.5252077500477
2023-05,296,000-000-3871,2.0,12.0,12.0,1455.62,6.0,6.0,100.8039,1.0,saladix jamon x 30 grs,403.85927281709337,5831.774710085794
2023-06,296,000-000-3871,2.0,12.0,12.0,1542.96,6.0,6.0,106.8521,1.0,saladix jamon x 30 grs,411.2302526119265,5938.225178261337
2023-07,296,000-000-3871,1.0,6.0,6.0,817.77,6.0,6.0,113.2634,1.0,saladix jamon x 30 grs,412.0082584346295,2974.729643469002
2023-08,296,000-000-3871,1.0,6.0,6.0,891.37,6.0,6.0,123.457,1.0,saladix jamon x 30 grs,388.48496203020403,2804.8943405790114
2023-09,296,000-000-3871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,saladix jamon x 30 grs,0.0,0.0
2023-10,296,000-000-3871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,saladix jamon x 30 grs,0.0,0.0
2023-11,296,000-000-3871,1.0,6.0,6.0,1147.83,6.0,6.0,143.08,1.0,saladix jamon x 30 grs,316.11283643490594,2535.9504965409424
2023-12,296,000-000-3871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,saladix jamon x 30 grs,0.0,0.0
2024-01,296,000-000-3871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,saladix jamon x 30 grs,0.0,0.0
2024-02,296,000-000-3871,3.0,18.0,18.0,6749.039999999999,6.0,6.0,280.4277,1.0,saladix jamon x 30 grs,354.55822183039436,8533.135711850877
2024-03,296,000-000-3871,1.0,6.0,6.0,1839.59,6.0,6.0,229.31,1.0,saladix jamon x 30 grs,262.37796958399997,2104.870651376
2024-04,296,000-000-3871,3.0,24.0,24.0,7358.37,8.0,8.0,229.31000000000003,1.0,saladix jamon x 30 grs,247.5263864,7942.918912799999
2024-05,296,000-000-3871,1.0,6.0,6.0,1939.1,6.0,6.0,297.0547,1.0,saladix jamon x 30 grs,305.966341,1997.273
2024-06,296,000-000-3871,2.0,12.0,12.0,3994.9399999999996,6.0,6.0,308.9158,1.0,saladix jamon x 30 grs,308.9158,3994.9399999999996
2022-04,296,000-000-4053,1.0,6.0,6.0,362.13,6.0,6.0,49.88,1.0,alf tatin triple blanco x 60 grs,454.20237132853873,3297.5201429270996
2023-06,296,000-000-4848,1.0,6.0,6.0,1225.26,6.0,6.0,169.7016,1.0,alf tofi triple negro x 73g,653.1124033748341,4715.527156839118
2022-03,296,000-000-6140,1.0,9.0,9.0,781.66,9.0,9.0,72.1759,1.0,alf bon o bon triple x 60 grs,696.003014510926,7537.664460333857
2022-04,296,000-000-6140,3.0,18.0,18.0,1563.3600000000001,6.0,6.0,72.1759,1.0,alf bon o bon triple x 60 grs,657.226642597664,14235.802310348523
2022-05,296,000-000-6140,1.0,6.0,6.0,521.12,6.0,6.0,72.1759,1.0,alf bon o bon triple x 60 grs,629.5274354383754,4545.275322588927
2022-06,296,000-000-6140,2.0,12.0,12.0,1102.22,6.0,6.0,76.3291,1.0,alf bon o bon triple x 60 grs,636.4743568665726,9190.921491612946
2022-07,296,000-000-6140,1.0,12.0,12.0,1202.06,12.0,12.0,83.1984,1.0,alf bon o bon triple x 60 grs,654.4852726280121,9456.078083415405
2022-08,296,000-000-6140,3.0,24.0,24.0,2511.5699999999997,8.0,8.0,88.19,1.0,alf bon o bon triple x 60 grs,647.7609687686347,18447.63597154144
2022-09,296,000-000-6140,1.0,12.0,12.0,1309.52,6.0,6.0,90.6858,1.0,alf bon o bon triple x 60 grs,624.2668913975635,9014.531267551672
2022-10,296,000-000-6140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf bon o bon triple x 60 grs,0.0,0.0
2022-11,296,000-000-6140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf bon o bon triple x 60 grs,0.0,0.0
2022-12,296,000-000-6140,2.0,12.0,12.0,1565.5,6.0,6.0,108.41245,1.0,alf bon o bon triple x 60 grs,648.4830434715277,9364.240034743949
2023-01,296,000-000-6140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf bon o bon triple x 60 grs,0.0,0.0
2023-02,296,000-000-6140,1.0,6.0,6.0,883.08,6.0,6.0,122.3085,1.0,alf bon o bon triple x 60 grs,623.8820818875076,4504.493055455838
2023-03,296,000-000-6140,1.0,14.0,14.0,2139.55,14.0,14.0,114.3,1.0,alf bon o bon triple x 60 grs,533.42325009622,9985.00187876962
2023-04,296,000-000-6140,2.0,14.0,14.0,2307.45,7.0,7.0,123.27000000000001,1.0,alf bon o bon triple x 60 grs,522.5114211717262,9780.716952889587
2023-05,296,000-000-6140,2.0,14.0,14.0,2676.67,7.0,7.0,158.6809,1.0,alf bon o bon triple x 60 grs,635.7368403798059,10723.771597838271
2023-06,296,000-000-6140,3.0,18.0,18.0,3675.7799999999997,6.0,6.0,169.7016,1.0,alf bon o bon triple x 60 grs,653.1124033748341,14146.581470517352
2023-07,296,000-000-6140,2.0,9.0,9.0,1948.1599999999999,4.5,4.5,179.8834,1.0,alf bon o bon triple x 60 grs,654.3459436614107,7086.649427370251
2023-08,296,000-000-6140,1.0,6.0,6.0,1486.43,6.0,6.0,205.8766,1.0,alf bon o bon triple x 60 grs,647.8366000624308,4677.383235544005
2023-09,296,000-000-6140,1.0,6.0,6.0,1560.74,6.0,6.0,194.55,1.0,alf bon o bon triple x 60 grs,535.6036125185719,4296.777086621619
2023-10,296,000-000-6140,3.0,15.0,15.0,4309.77,5.0,5.0,241.42483333333334,1.0,alf bon o bon triple x 60 grs,617.1326153229232,11016.677923385161
2023-11,296,000-000-6140,3.0,15.0,15.0,4943.36,5.0,5.0,278.1458333333333,1.0,alf bon o bon triple x 60 grs,614.5196276037923,10921.579194288905
2023-12,296,000-000-6140,1.0,6.0,6.0,2162.71,6.0,6.0,299.5415,1.0,alf bon o bon triple x 60 grs,510.24672318027723,3684.0160401454136
2024-01,296,000-000-6140,2.0,9.0,9.0,5904.21,4.5,4.5,490.6495,1.0,alf bon o bon triple x 60 grs,694.1736075257428,8353.30873727491
2024-02,296,000-000-6140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alf bon o bon triple x 60 grs,0.0,0.0
2024-03,296,000-000-6140,3.0,9.0,9.0,5904.21,3.0,3.0,490.64900000000006,1.0,alf bon o bon triple x 60 grs,561.4037259536,6755.634868943999
2024-04,296,000-000-6140,2.0,12.0,12.0,7872.24,6.0,6.0,490.649,1.0,alf bon o bon triple x 60 grs,529.6261565599999,8497.610745599999
2024-05,296,000-000-6140,3.0,15.0,15.0,9840.33,5.0,5.0,490.6493333333333,1.0,alf bon o bon triple x 60 grs,505.36881333333326,10135.5399
2024-06,296,000-000-6140,3.0,15.0,15.0,10993.170000000002,5.0,5.0,553.8853666666666,1.0,alf bon o bon triple x 60 grs,553.8853666666666,10993.170000000002
2022-07,296,000-000-6768,1.0,4.0,4.0,478.82,4.0,4.0,98.93,1.0,tortitas black x 125 grs,778.2388606161807,3766.666645509346
2022-12,296,000-000-7048,1.0,6.0,6.0,468.23,6.0,6.0,64.852,1.0,serranas sandwich x 112 grs,387.92059708285825,2800.7780973926283
2022-04,296,000-000-7168,1.0,2.0,2.0,201.75,2.0,2.0,83.8281,1.0,saladix calabresa x 100 grs,763.3304291091796,1837.1156458607195
2022-06,296,000-000-7201,1.0,3.0,3.0,260.9,3.0,3.0,72.2708,1.0,mana vainilla x 145 grs,602.6340013210256,2175.5288573622483
2022-09,296,000-000-7202,1.0,6.0,6.0,619.92,3.0,3.0,85.8645,1.0,mana leche x 145 grs,591.0778147891522,4267.432512203427
2022-03,296,000-000-7208,1.0,3.0,3.0,554.73,3.0,3.0,153.6647,1.0,mana vainilla oferta x 393 grs,1481.81171864732,5349.344479800682
2022-03,296,000-000-9419,1.0,6.0,6.0,455.58,6.0,6.0,69.7243,1.0,opera x 55 grs,672.3618684999309,4393.226178695211
2022-03,296,000-999-202201223,1.0,5.0,5.0,1139.16,5.0,5.0,170.4,4.0,block 38g,1643.1927232311868,10985.090508192716
2022-01,296,000-999-202201227,1.0,1.0,1.0,574.45,1.0,1.0,429.64,4.0,block 110g,4774.48870318231,6383.728320321847
2022-02,296,000-999-202201227,1.0,1.0,1.0,574.45,1.0,1.0,429.64,4.0,block 110g,4441.384840169591,5938.351925880788
2022-03,296,000-999-202201227,1.0,2.0,2.0,1148.89,2.0,2.0,429.64,4.0,block 110g,4143.082873292529,11078.918355593183
2022-02,296,000-999-202201267,1.0,4.0,4.0,985.41,4.0,4.0,184.25,4.0,oblea bob leche,1904.6763727801117,10186.633077347353
2022-04,296,000-999-202204680,1.0,1.0,1.0,777.36,1.0,1.0,581.4,4.0,bob leche,5294.171184651412,7078.5636603037865
2022-05,296,000-999-202205228,1.0,2.0,2.0,1303.62,2.0,2.0,487.5,4.0,block 38g,4252.0373805689715,11370.340451399634
2022-05,296,000-999-202205230,1.0,2.0,2.0,986.18,2.0,2.0,368.79,4.0,block 110g,3216.6335704205762,8601.588151732323
2022-05,296,000-999-202206203,1.0,1.0,1.0,870.28,1.0,1.0,650.89,4.0,bob leche 30u,5677.145867976487,7590.693521151927
2022-06,296,000-999-202206203,2.0,2.0,2.0,1740.56,1.0,1.0,650.89,4.0,bob leche 30u,5427.481709346546,14513.754342546703
2022-06,296,000-999-202206209,1.0,1.0,1.0,497.25,1.0,1.0,371.9,4.0,bombones arcor,3101.10840188969,4146.346202849283
2022-06,296,000-999-202206229,4.0,7.0,7.0,5247.7699999999995,1.75,1.75,560.7,4.0,block 38g,4675.427483031862,43758.81591337633
2022-05,296,000-999-202206231,1.0,1.0,1.0,756.07,1.0,1.0,565.48,4.0,block 110g,4932.188918900804,6594.539286824169
2022-06,296,000-999-202206231,3.0,4.0,4.0,3024.29,1.3333333333333333,1.3333333333333333,565.48,4.0,block 110g,4715.285773327728,25218.206853323398
2022-06,296,000-999-202206233,2.0,2.0,2.0,1513.8,1.0,1.0,566.1,4.0,block 170g,4720.4556770899535,12622.903734285057
